API,PermitDate,SpudDate,CompletionDate,FirstProductionDate,operatorNameIHS,formation,BasinName,StateName,CountyName,LatWGS84,LonWGS84,BottomHoleLatitude,BottomHoleLongitude,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT
5005072170100,2014-05-06,2014-05-06,2014-12-02,2014-11-01 00:00:00.000,BURLINGTON RESOURCES O&G CO LP,NIOBRARA,DENVER BASIN,COLORADO,ARAPAHOE,39.684605534,-104.64212775,39.68445,-104.60557,9005.0,994.6866,591.8004
5123377130000,2013-07-21,2013-10-06,2014-02-26,2014-02-01 00:00:00.000,SRC ENERGY INCORPORATED,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.50932,-104.78097998,40.49692,-104.77859,4195.0,991.5857,628.6321
5123379280000,2013-09-08,2013-09-25,2014-09-07,2013-11-01 00:00:00.000,BONANZA CREEK ENERGY OPERATING CO LLC,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.335389967,-104.363000032,40.3478,-104.36863,4273.0,1000.276,564.4841
5123379400000,2013-09-11,2014-12-05,2015-03-31,2015-03-01 00:00:00.000,NOBLE ENERGY INCORPORATED,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.152219992,-104.530779987,40.17445,-104.52932,7078.0,973.4437,824.002
5123385820100,2014-01-07,2014-01-13,2014-04-23,2014-04-01 00:00:00.000,GREAT WESTERN OPERATING COMPANY LLC,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.508302553,-104.868180166,40.49558,-104.86757,3211.0,783.5919,603.1414
5123390320000,2014-02-27,2014-06-20,2014-10-30,2014-10-01 00:00:00.000,NOBLE ENERGY INCORPORATED,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.52098891,-104.450861134,40.521,-104.46772,4259.0,1011.044,698.6819
5123390440000,2014-02-28,2014-04-26,2014-08-16,2014-08-01 00:00:00.000,KERR-MCGEE OIL & GAS ONSHORE LP,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.11887197,-104.78937203299999,40.13079000000001,-104.78716,4518.0,469.8262,798.1676
5123392690000,2014-04-14,2015-03-20,2015-08-03,2015-07-01 00:00:00.000,CRESTONE PEAK RESOURCES OPERATING LLC,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.147014995999996,-104.89834199799999,40.16105,-104.8934,4975.0,1267.887,835.9928
5123399750000,2014-08-09,2014-11-14,2015-04-16,2015-04-01 00:00:00.000,KERR-MCGEE OIL & GAS ONSHORE LP,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.263372987,-104.72795502,40.27426,-104.73307,4786.0,805.9642,1133.333
5123402600000,2014-09-22,2015-06-16,2015-09-13,2015-09-01 00:00:00.000,EXTRACTION OIL & GAS LLC,CODELL,DENVER BASIN,COLORADO,WELD,40.353966997,-104.94467903200001,40.3544,-104.96173,4195.0,926.501,403.3223
5123409020000,2014-12-23,2015-02-07,2015-09-07,2015-09-01 00:00:00.000,NOBLE ENERGY INCORPORATED,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.482361088000005,-104.46826108399999,40.48424,-104.45072,4240.0,697.0967,983.0599
5123410480000,2015-01-21,2015-03-16,2015-04-23,2015-04-01 00:00:00.000,BONANZA CREEK ENERGY OPERATING CO LLC,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.433138983,-104.298584963,40.4346,-104.28176,4294.0,896.9146,604.3947
30015414470000,2013-06-07,2013-10-06,2014-01-07,2013-12-01 00:00:00.000,OXY USA INC,BONE SPRING,PERMIAN BASIN,NEW MEXICO,EDDY,32.312442695,-104.03051098799999,32.31051,-104.01594,3790.0,648.1232,477.6181
30025425390000,2015-04-30,2015-06-17,2015-10-10,2015-08-01 00:00:00.000,EOG RESOURCES INCORPORATED,WOLFCAMP UPPER,PERMIAN BASIN,NEW MEXICO,LEA,32.080410207,-103.530040419,32.09347,-103.52959,4583.0,1657.98,1625.025
33023010960000,2013-08-22,2014-01-19,2014-04-07,2014-03-01 00:00:00.000,PETRO-HUNT LLC,THREE FORKS,WILLISTON BASIN,NORTH DAKOTA,DIVIDE,48.893759285,-103.647073839,48.86601,-103.64545,10055.0,247.5587,193.1525
33025026780000,2014-09-30,2015-05-04,2015-09-23,2015-08-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,DUNN,47.45719928800001,-102.87630142100001,47.48709,-102.87709,10225.0,326.3353,763.9421
33053048870100,2013-03-21,2014-08-06,2014-11-05,2014-11-01 00:00:00.000,OASIS PETROLEUM NORTH AMERICA LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.995019439,-103.56130555,47.9947,-103.52035,9400.0,984.4741,559.1107
33053051530000,2013-07-29,2013-09-03,2014-04-27,2014-04-01 00:00:00.000,BURLINGTON RESOURCES O&G CO LP,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.99292831100001,-103.020489952,48.02321,-103.01697,10415.0,341.2530000000001,233.8519
33053056390200,2014-01-23,2014-12-18,2015-01-17,2015-01-01 00:00:00.000,NEWFIELD PRODUCTION COMPANY,THREE FORKS / BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,48.067983588999994,-103.032124597,48.08104,-103.03132,1513.0,455.897,367.2391
33053056550000,2014-01-28,2014-03-14,2014-06-25,2014-06-01 00:00:00.000,NINE POINT ENERGY LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.791113853,-103.545863868,47.81872,-103.54224,9613.0,392.4996,400.8887
33053059400000,2014-05-15,2014-11-13,2015-04-03,2015-03-01 00:00:00.000,XTO ENERGY INCORPORATED,THREE FORKS,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.746094411,-103.098475031,47.71838,-103.09252,10021.0,375.7643,361.355
33053061530000,2014-08-05,2015-01-27,2015-06-28,2015-06-01 00:00:00.000,BURLINGTON RESOURCES O&G CO LP,THREE FORKS,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.846021861000004,-102.967045451,47.8192,-102.96232,9291.0,440.1811,279.0327
33053061600000,2014-08-05,2014-09-25,2015-01-13,2014-12-01 00:00:00.000,HESS BAKKEN INVESTMENTS II LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.675446903,-103.316277786,47.70267,-103.31067,10052.0,148.4382,119.3863
33053061970000,2014-08-15,2015-02-25,2015-08-10,2015-08-01 00:00:00.000,HESS BAKKEN INVESTMENTS II LLC,THREE FORKS,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.920949398999994,-102.85689884799999,47.92118,-102.8131,9841.0,354.8798,240.36
33053062710000,2014-09-15,2014-11-02,2015-04-05,2015-03-01 00:00:00.000,WHITING OIL & GAS CORPORATION,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.84758888,-103.975208328,47.8201,-103.98625,10951.0,286.4915,236.7364
33053067490000,2015-02-23,2015-07-09,2015-10-10,2015-10-01 00:00:00.000,WHITING OIL & GAS CORPORATION,THREE FORKS,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,48.022461113999995,-103.109486085,47.9929,-103.10193,11238.0,401.0879,174.9512
33061032390000,2014-08-05,2014-10-14,2015-02-16,2015-02-01 00:00:00.000,WHITING OIL & GAS CORPORATION,THREE FORKS,WILLISTON BASIN,NORTH DAKOTA,MOUNTRAIL,48.10990458,-102.56550816299999,48.09766,-102.54984,5102.0,307.2087,474.8926
33061033560000,2014-10-16,2015-02-06,2015-07-24,2015-07-01 00:00:00.000,HESS BAKKEN INVESTMENTS II LLC,THREE FORKS,WILLISTON BASIN,NORTH DAKOTA,MOUNTRAIL,48.140772758999994,-102.694396901,48.11112,-102.69618,9872.0,206.043,161.2875
33105031270000,2013-07-16,2013-09-19,2014-02-10,2014-02-01 00:00:00.000,WHITING OIL & GAS CORPORATION,THREE FORKS,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.167885621,-103.193272992,48.14049,-103.18976,9211.0,366.1146,3.051352
33105032030000,2013-09-09,2013-10-24,2014-04-26,2014-04-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,THREE FORKS,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.23095416100001,-103.18956946700001,48.19827,-103.19005,11492.0,359.6471,301.8215
33105034810000,2014-03-24,2014-06-06,2015-01-15,2014-12-01 00:00:00.000,XTO ENERGY INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.516577956999996,-102.93857203299999,48.49633,-102.93151,7143.0,346.7994,394.3689
33105035380000,2014-05-23,2014-06-11,2014-12-29,2014-12-01 00:00:00.000,LIBERTY RESOURCES MANAGEMENT COMPANY LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.503628074,-102.97709191700001,48.53119,-102.97815,9947.0,422.7651,815.3825
33105035810000,2014-06-19,2014-09-01,2015-05-13,2015-03-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,THREE FORKS,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.603374446000004,-103.032381145,48.57598,-103.03142,9521.0,333.2274,256.3768
33105036550100,2014-08-04,2014-10-27,2015-02-26,2015-02-01 00:00:00.000,WHITING OIL & GAS CORPORATION,THREE FORKS,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.112096716,-103.294476343,48.13924,-103.29261,4542.0,330.936,231.4858
33105037690100,2014-09-22,2014-12-23,2015-05-08,2015-03-01 00:00:00.000,CONTINENTAL RESOURCES INCORPORATED,THREE FORKS,WILLISTON BASIN,NORTH DAKOTA,WILLIAMS,48.225952797,-103.31816662700001,48.19845,-103.3135,9477.0,610.1913,517.7006
35017246780000,2014-03-19,2014-03-21,2014-05-19,2014-06-01 00:00:00.000,MARATHON OIL COMPANY,WOODFORD,ANADARKO BASIN,OKLAHOMA,CANADIAN,35.550467239,-97.837857758,35.53706,-97.83706,4596.0,1294.575,1924.085
35017246960000,2014-09-03,2014-09-28,2014-12-10,2014-12-01 00:00:00.000,CIMAREX ENERGY COMPANY,WOODFORD,ANADARKO BASIN,OKLAHOMA,CANADIAN,35.383976239,-97.991357605,35.40532,-97.99148,7440.0,2053.605,1768.781
35073250300000,2014-11-26,2015-02-14,2015-08-25,2015-08-01 00:00:00.000,CHAPARRAL ENERGY LIMITED LIABILITY CORP,OSWEGO,ANADARKO BASIN,OKLAHOMA,KINGFISHER,36.044719522,-97.893226682,36.03002,-97.89306,4530.0,108.3326,382.2158
42105419830000,2014-02-27,2014-03-03,2014-06-04,2014-06-01 00:00:00.000,APPROACH OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,30.932566379,-101.22479035200001,30.91022,-101.22338,7330.0,1201.486,1170.349
42105420060100,2014-04-10,2014-06-07,2014-08-04,2014-08-01 00:00:00.000,EP ENERGY E&P COMPANY LP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,31.03622039,-101.298202948,31.0584,-101.29816,7727.0,1322.021,928.1738
42105421020000,2014-08-16,2014-08-23,2014-12-22,2014-12-01 00:00:00.000,APPROACH OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,30.931084527,-101.275645985,30.91015,-101.27472,6853.0,1247.498,1382.348
42105421500000,2014-10-07,2014-11-23,2015-03-29,2015-03-01 00:00:00.000,APPROACH OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,30.891879705999997,-101.23924839700001,30.9101,-101.23926,5946.0,1182.164,1441.936
42301318440000,2012-09-13,2012-11-15,2014-01-27,2013-04-01 00:00:00.000,SHELL WESTERN E & P INCORPORATED LP,BONE SPRING,PERMIAN BASIN,TEXAS,LOVING,31.955839555,-103.74077644200001,31.94281,-103.74097,3656.0,488.5271,354.6536
42317401950000,2015-05-18,2015-06-23,2015-10-06,2015-10-01 00:00:00.000,PIONEER NATURAL RESOURCES USA INC,SPRABERRY,PERMIAN BASIN,TEXAS,MARTIN,32.17580213,-102.062500535,32.1969,-102.06904,7290.0,1157.629,1560.677
42371392130100,2014-06-27,2014-08-13,2014-12-01,2014-11-01 00:00:00.000,DIAMONDBACK EXPLORATION & PROD LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,PECOS,31.103318221,-103.107996951,31.10177,-103.13352,7664.0,1785.731,3272.875
42383381710000,2013-01-09,2013-10-23,2014-03-07,2014-02-01 00:00:00.000,SABLE PERMIAN RESOURCES LAND LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,REAGAN,31.28760317,-101.589563993,31.25907,-101.58952,9619.0,1659.306,1489.5410000000004
42389339940000,2013-11-04,2014-02-03,2014-07-16,2014-06-01 00:00:00.000,EOG RESOURCES INCORPORATED,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.613055478000003,-103.94327327100001,31.5978,-103.94402,4808.0,1535.017,1263.295
42389345710000,2014-10-06,2014-11-30,2015-03-31,2015-03-01 00:00:00.000,BHP BILLITON PETROLEUM(TXLA OP) COMPANY,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.767677504,-103.855620739,31.78125,-103.85369,4738.0,1319.835,1201.862
42461395750000,2014-09-17,2014-11-07,2015-06-07,2015-06-01 00:00:00.000,PIONEER NATURAL RESOURCES USA INC,SPRABERRY,PERMIAN BASIN,TEXAS,UPTON,31.268788974,-101.78936168700001,31.242490000000004,-101.78967,9091.0,983.569,1691.322
49021210550000,2013-11-13,2014-01-10,2014-05-19,2014-03-01 00:00:00.000,SAMSON EXPLORATION LLC,CODELL,DENVER BASIN,WYOMING,LARAMIE,41.289530031,-104.662339959,41.27109,-104.66166,6030.0,1106.864,652.499
